X,Y,B1,B4,B7,Ag,B,Al2O3,As,Au,Ba,Be,Bi,CaO,Cd,Co,Cr,Cu,F,Fe2O3,Hg,K2O,La,Li,MgO,Mn,Mo,Na2O,Nb,Ni,P,Pb,Sb,SiO2,Sn,Sr,Th,Ti,U,V,W,Y2,Zn,Zr,Gravity,Magnetic,type
620835.8479,4626498.573,12213,14400,17190,59.5690994,18.1082993,12.7290001,4.5680599,0.434398,593.6950073,2.1742301,0.142291,5.2301102,79.4005966,4.6343198,61.3819008,12.9701004,476.1809998,2.79091,8.3787899,3.8025899,15.7979002,14.1660995,1.7374901,430.4129944,5.36551,2.93922,10.3948002,11.7336998,419.3680115,17.8514996,0.274182,63.3694992,1.751,250.6430054,6.76826,2013.300049,1.1267999,41.7717018,0.644608,15.5108995,31.0862999,113.1240005,-218.3529968,-46.8499985,4
335835.8479,4625498.573,13047,14122,16365,69.2839966,4.7595801,67.5537033,0.609547,0.346331,55.162899,2.33283,11.3466997,2.3921399,48.2765007,5.2941198,16.4545002,10.5410004,248.0879974,2.4728301,3.1290901,1.52786,16.9095001,6.97964,1.1654299,354.678009,0.513368,4.3810301,5.4763699,7.4755998,388.4500122,9.1136103,0.263026,17.0172005,0.932195,220.5850067,6.5752802,1696.040039,1.23612,50.1194,0.600969,20.5664005,16.5895996,119.75,-146.470993,39.5626984,4
333835.8479,4624498.573,12627,13447,15223,54.6040001,13.7268,41.297699,1.93531,0.470393,318.3859863,2.1466701,6.5644398,3.0461099,47.7863007,6.0250101,21.1679001,11.8144999,300.5069885,2.93467,4.28578,2.1779699,18.4929008,8.6752996,1.3674901,407.3280029,0.616459,4.10427,7.2930198,9.2572803,440.2860107,7.3822198,0.308571,42.1515999,1.2540801,270.7539978,7.0499601,1820.069946,1.56792,58.6253014,0.619642,20.1891003,28.0627995,128.7149963,-145.6959991,9.3562803,4
337835.8479,4624498.573,13234,14912,17385,68.4992981,3.2666099,69.1993027,0.511452,0.511452,14.5717001,3.06339,12.5002003,3.2666099,72.207901,7.2613902,22.9500999,14.8859997,288.0130005,3.06339,5.1431499,1.7278399,17.6863995,9.3786697,1.50374,517.1259766,0.752113,4.19173,6.3611498,11.0016003,471.1270142,10.4990997,0.322142,12.5002003,1.01054,248.5559998,7.4108901,1389.089966,1.36788,61.7972984,0.661073,22.0429001,29.5498009,117.612999,-147.2910004,30.6744003,4
338835.8479,4624498.573,13019,14228,16424,68.1326981,3.3245001,68.8667984,0.573781,0.573781,16.5112,3.1289999,12.5183001,3.3245001,89.9600983,7.23805,21.3304005,16.8379002,286.5,3.1289999,5.2691698,1.94134,16.7835999,10.3058004,1.41264,606.4320068,0.911692,4.1680899,6.0831499,10.4097996,475.9230042,12.9525995,0.356598,12.5183001,0.907876,237.9309998,7.55863,1491.26001,1.39016,61.8867989,0.6906,22.3995991,37.3263016,108.2699966,-147.9400024,42.5211983,4
339835.8479,4624498.573,12970,13949,15967,67.7856979,3.4656701,68.3664017,0.626459,0.626459,18.9281998,3.27753,12.5922003,3.4656701,101.3509979,7.6037302,21.948,19.3211002,309.993988,3.27753,4.89292,2.05002,16.875,11.1676998,1.4454,615.2379761,1.01354,4.0724902,6.0679498,10.5078001,487.5,11.8611002,0.376429,12.5922003,0.91069,241.4720001,7.5501099,1582.680054,1.4,66.2536011,0.755701,22.6604996,40.1433983,107.572998,-148.2779999,61.4343987,4
340835.8479,4624498.573,13000,14076,16330,67.4679031,3.6584201,67.8860016,0.768702,0.768702,21.0042992,3.3794999,12.6513996,3.6584201,111.6869965,7.88557,23.2766991,21.4564991,329.9230042,3.3794999,4.5202899,2.1693599,16.7852001,11.7973003,1.4688801,618.3220215,1.11821,3.9586301,5.9919,10.7692003,491.5669861,10.7021999,0.398488,12.6513996,0.909275,245.6230011,7.4734802,1674.689941,1.40025,69.2511978,0.808587,22.6751995,42.3325996,106.012001,-148.927002,74.2667999,4
340835.8479,4623498.573,12299,13101,15014,70,2.72,70.1200027,0.47,0.47,20,3.1800001,12.6899996,2.72,100,6.1999998,14.8999996,20.6000004,350,3.1800001,6,2.54,15.6999998,10.6000004,1.14,570,1.1,4.1700001,5.0999999,7.4000001,485,7.3000002,0.4,12.6899996,1.034,230,7.1999998,370,1.4,59.7000008,0.86,22.7999992,46.0999985,106,-148.8869934,47.5023003,4
342835.8479,4623498.573,12450,13561,15251,68,2.8,68.6800003,0.55,0.55,24,3.3299999,12.5100002,2.8,90,6.9000001,21.1000004,24.7000008,284,3.3299999,5,2.45,16.2000008,11.1999998,1.25,548,1.1,4.1300001,5.6999998,9.3999996,462,7.5,0.35,12.5100002,1.137,265,7.5999999,320.0010071,1.6,61.5,0.86,22,40.7999992,103,-149.8820038,69.5578995,4
474835.8479,4623498.573,12788,13880,15972,54,17.2000008,13.0500002,2.5999999,0.9,957,1.89,0.17,5.5599999,50,6.6900001,33.7999992,19.7999992,215,3.8699999,10,2.8399999,21.7999992,9.3999996,1.72,703,1.1,3.4000001,11.8999996,13.1999998,701,13.6000004,0.37,63.7099991,1.8,232,9.0699997,3380,2,56.2000008,0.79,29.6000004,52,209,-169.9290009,-91.0541,4
476835.8479,4623498.573,12405,13720,14649,51,22,12.2700005,2.9000001,1.1,509,2.3399999,0.14,7.1300001,80,6.6300001,30.8999996,19.1000004,264,3.1600001,10,2.1900001,24.7000008,10.3000002,1.64,426,1.1,3.22,15.3999996,12.3999996,626,11.5,0.38,64.0400009,2.4000001,252,11.5,2960,2.5,54,0.79,43.7999992,39.5,288,-169.451004,-147.8930054,4
484835.8479,4622498.573,14096,17143,20751,36.0852013,14.1957998,15.1295996,5.7466402,0.739766,799.776001,1.90084,0.199403,4.3526402,56.4728012,7.5217199,28.5352993,17.6933994,319.8770142,4.0223398,11.4476995,3.72019,24.6707001,13.8972998,1.3835599,626.2290039,0.87701,3.53142,14.1950998,14.6816998,778.9920044,10.6000996,0.391396,63.7947006,1.1849999,305.3340149,8.3632803,3497.209961,2.1066401,61.8278999,0.63052,37.9124985,56.1281013,219.2510071,-170.128006,-112.9729996,4
