,X,Y,type,B1,B4,B7,Ag,B,Al2O3,As,Au,Ba,Be,Bi,CaO,Cd,Co,Cr,Cu,F,Fe2O3,Hg,K2O,La,Li,MgO,Mn,Mo,Na2O,Nb,Ni,P,Pb,Sb,SiO2,Sn,Sr,Th,Ti,U,V,W,Y2,Zn,Zr,Gravity,Magnetic
117,613000,4629000,0,12071,13689,15137,60,6.5999999,14.6300001,3.3,0.5,926,2,0.15,4.29,106,7.6700001,32.6300011,13.0299997,334,3.23,9,3.9100001,15.5,15.8000002,1.49,563,3.3800001,3.9000001,7.29,7.71,614,13.8699999,0.44,62.3699989,1.6,256,9.6300001,2390,1.3,57.0400009,0.59,20.4799995,40.7000008,123,-215.723999,125.3379974
118,614000,4629000,0,11624,12147,13361,57.2994003,7.3406901,13.9111004,3.8737199,0.399883,870.1450195,2.0762501,0.118395,5.2131701,95.6763,5.91185,40.5862007,11.8837004,404.9129944,2.76581,8.98771,3.8698399,15.9076996,11.9672003,1.5547,482.3710022,4.9636102,3.6347101,7.2669201,7.6494999,522.8720093,15.1203003,0.348317,61.6316986,1.73307,260.0190125,7.8678999,1984.560059,1.21333,41.0677986,0.751168,16.6762009,34.5517006,112.0070038,-215.9100037,104.1119995
119,605000,4628000,0,11982,13553,15808,51.2937012,5.4296899,14.4897003,2.2082701,0.334768,716.5390015,1.82462,0.0998543,4.0555801,81.6822968,4.105,49.3981018,15.7700996,400.4710083,3.03023,14.4336004,3.28601,18.1730995,9.5297899,1.25194,509.1359863,6.7658601,3.8805001,6.9531298,8.3497,502.9660034,16.3500996,0.222661,63.6160011,1.8049099,329.8399963,8.0634203,1946.680054,0.785154,46.3745995,0.890269,18.3309994,34.2841988,128.3049927,-216.0269928,165.0299988
120,606000,4628000,0,11911,12140,13991,50.7141991,5.3143401,14.4421997,2.15042,0.253595,728.1049805,2.0035,0.108569,3.85976,84.7843018,4.0831599,47.0331001,14.5642004,370.4419861,2.9282401,14.4285002,3.34426,18.7852993,9.33957,1.19646,513.9609985,6.42379,3.9531901,7.2873201,7.0971899,525.315979,16.6588993,0.231069,63.6735001,1.82856,316.2919922,8.22715,1981.060059,0.745009,42.1300011,0.984291,19.5216007,34.4999008,137.8540039,-217.0509949,199.5829926
121,607000,4628000,0,11747,11832,13307,50.8314018,5.1776199,14.3724003,2.1071899,0.174842,732.1849976,2.20401,0.115682,3.6536801,89.4766998,4.0525899,43.9584999,13.1337004,327.0740051,2.8320799,14.1196003,3.35218,19.6322994,9.1451902,1.12571,517.3079834,5.8804898,4.0211501,7.6143799,6.0130701,550.8839722,16.9214001,0.243267,63.9105988,1.85811,302.1170044,8.4057102,2026.040039,0.735354,38.3624992,1.13617,20.7126007,34.5028,147.4980011,-217.598999,253.7109985
122,608000,4628000,0,11744,12186,14854,52.1419983,5.3963499,14.3921003,2.3891201,0.249965,739.617981,2.1357701,0.116429,3.7588899,84.9649963,4.3775301,41.4042015,12.7756996,330.42099,2.83707,11.2514,3.4703701,18.7003994,10.4457998,1.19639,526.2319946,5.5015802,4.02071,7.7105498,6.0845199,539.7150269,16.9368992,0.269266,63.5411987,1.81072,286.1870117,8.3448696,2090.75,0.834222,38.2248993,1.50744,20.2936001,35.3555984,145.2830048,-218.1190033,238.0870056
123,609000,4628000,0,11847,12058,14147,53.7979012,5.5680799,14.4061003,2.6898799,0.325381,741.0609741,2.06446,0.112935,3.8164001,82.2414017,4.7901902,39.4202003,12.2691002,330.2879944,2.8345699,8.7295399,3.6129601,17.8850002,11.8008003,1.25187,537.4039917,5.1998601,4.0213699,7.84484,6.0320101,523.6279907,16.9692993,0.299522,63.2338982,1.7787,267.3150024,8.4560804,2140.409912,0.921184,37.3949013,1.70899,19.9890995,36.4715996,144,-218.5420074,288.4400024
124,610000,4628000,0,11656,11726,14411,53.2146988,6.3137398,14.5681,2.72142,0.453483,805.4030151,1.95008,0.105716,3.74261,78.8235016,4.6514001,37.7508011,11.2493,323.7130127,2.7960501,8.0005503,3.88026,17.7394009,11.4895,1.2639199,512.7219849,5.1121302,3.99929,7.5565701,6.4625602,529.2739868,17.1194992,0.293216,63.0675011,1.73216,260.7860107,8.1300297,2180.040039,0.963532,39.2286987,1.44806,18.9433994,34.7574005,136.322998,-218.302002,212.923996
125,611000,4628000,0,11468,11730,14568,52.3305016,7.0983701,14.7118998,2.7823801,0.570018,873.3070068,1.81064,0.102782,3.6693399,75.0679016,4.4846301,36.3804016,10.4741001,332.7990112,2.7479401,7.1823101,4.17205,17.3595009,11.2704,1.2681201,487.6319885,5.2130799,3.9572501,7.2862902,6.8663702,528.3950195,17.3764992,0.289006,62.9290009,1.6927201,253.4859924,7.6700401,2202.800049,0.992091,40.5684013,1.2365201,17.8160992,33.1938019,130.3860016,-218.4960022,220.9400024
126,612000,4628000,0,10951,11009,13300,53.5699005,6.7859302,14.6097002,2.8713,0.446473,951.9979858,1.89639,0.10785,4.0019999,81.2798996,4.28021,35.9924011,10.2135,356.4249878,2.71137,8.7139397,4.3582802,17.8183994,11.2456999,1.29605,483.0610046,5.0370698,3.88466,7.2528601,6.8477702,516.0629883,17.2243004,0.300687,62.2154007,1.65001,241.3560028,6.9744101,2098.850098,0.977816,38.4067993,0.892946,16.8318005,32.4524002,124.8219986,-217.7859955,172.0890045
